"","Date","value","station","sensor","depth"
"1",2023-06-01,330,"TNHA","TNHA-BASE","1"
"2",2023-06-01 01:00:00,313,"TNHA","TNHA-BASE","1"
"3",2023-06-01 02:00:00,303,"TNHA","TNHA-BASE","1"
"4",2023-06-01 03:00:00,340,"TNHA","TNHA-BASE","1"
"5",2023-06-01 04:00:00,292,"TNHA","TNHA-BASE","1"
"6",2023-06-01 05:00:00,316,"TNHA","TNHA-BASE","1"
"7",2023-06-01 06:00:00,32,"TNHA","TNHA-BASE","1"
"8",2023-06-01 07:00:00,52,"TNHA","TNHA-BASE","1"
"9",2023-06-01 08:00:00,39,"TNHA","TNHA-BASE","1"
"10",2023-06-01 09:00:00,4,"TNHA","TNHA-BASE","1"
"11",2023-06-01 10:00:00,48,"TNHA","TNHA-BASE","1"
"12",2023-06-01 11:00:00,55,"TNHA","TNHA-BASE","1"
"13",2023-06-01 12:00:00,0,"TNHA","TNHA-BASE","1"
"14",2023-06-01 13:00:00,319,"TNHA","TNHA-BASE","1"
"15",2023-06-01 14:00:00,229,"TNHA","TNHA-BASE","1"
"16",2023-06-01 15:00:00,282,"TNHA","TNHA-BASE","1"
"17",2023-06-01 16:00:00,166,"TNHA","TNHA-BASE","1"
"18",2023-06-01 17:00:00,324,"TNHA","TNHA-BASE","1"
"19",2023-06-01 18:00:00,331,"TNHA","TNHA-BASE","1"
"20",2023-06-01 19:00:00,298,"TNHA","TNHA-BASE","1"
"21",2023-06-01 20:00:00,323,"TNHA","TNHA-BASE","1"
"22",2023-06-01 21:00:00,337,"TNHA","TNHA-BASE","1"
"23",2023-06-01 22:00:00,341,"TNHA","TNHA-BASE","1"
"24",2023-06-01 23:00:00,338,"TNHA","TNHA-BASE","1"
"25",2023-06-02,326,"TNHA","TNHA-BASE","1"
"26",2023-06-02 01:00:00,313,"TNHA","TNHA-BASE","1"
"27",2023-06-02 02:00:00,285,"TNHA","TNHA-BASE","1"
"28",2023-06-02 03:00:00,298,"TNHA","TNHA-BASE","1"
"29",2023-06-02 04:00:00,218,"TNHA","TNHA-BASE","1"
"30",2023-06-02 05:00:00,218,"TNHA","TNHA-BASE","1"
"31",2023-06-02 06:00:00,223,"TNHA","TNHA-BASE","1"
"32",2023-06-02 07:00:00,232,"TNHA","TNHA-BASE","1"
"33",2023-06-02 08:00:00,230,"TNHA","TNHA-BASE","1"
"34",2023-06-02 09:00:00,223,"TNHA","TNHA-BASE","1"
"35",2023-06-02 10:00:00,229,"TNHA","TNHA-BASE","1"
"36",2023-06-02 11:00:00,220,"TNHA","TNHA-BASE","1"
"37",2023-06-02 12:00:00,222,"TNHA","TNHA-BASE","1"
"38",2023-06-02 13:00:00,215,"TNHA","TNHA-BASE","1"
"39",2023-06-02 14:00:00,205,"TNHA","TNHA-BASE","1"
"40",2023-06-02 15:00:00,25,"TNHA","TNHA-BASE","1"
"41",2023-06-02 16:00:00,25,"TNHA","TNHA-BASE","1"
"42",2023-06-02 17:00:00,44,"TNHA","TNHA-BASE","1"
"43",2023-06-02 18:00:00,213,"TNHA","TNHA-BASE","1"
"44",2023-06-02 19:00:00,220,"TNHA","TNHA-BASE","1"
"45",2023-06-02 20:00:00,216,"TNHA","TNHA-BASE","1"
"46",2023-06-02 21:00:00,218,"TNHA","TNHA-BASE","1"
"47",2023-06-02 22:00:00,225,"TNHA","TNHA-BASE","1"
"48",2023-06-02 23:00:00,222,"TNHA","TNHA-BASE","1"
"49",2023-06-03,220,"TNHA","TNHA-BASE","1"
"50",2023-06-03 01:00:00,278,"TNHA","TNHA-BASE","1"
"51",2023-06-03 02:00:00,41,"TNHA","TNHA-BASE","1"
"52",2023-06-03 03:00:00,348,"TNHA","TNHA-BASE","1"
"53",2023-06-03 04:00:00,324,"TNHA","TNHA-BASE","1"
"54",2023-06-03 05:00:00,271,"TNHA","TNHA-BASE","1"
"55",2023-06-03 06:00:00,220,"TNHA","TNHA-BASE","1"
"56",2023-06-03 07:00:00,222,"TNHA","TNHA-BASE","1"
"57",2023-06-03 08:00:00,247,"TNHA","TNHA-BASE","1"
"58",2023-06-03 09:00:00,282,"TNHA","TNHA-BASE","1"
"59",2023-06-03 10:00:00,268,"TNHA","TNHA-BASE","1"
"60",2023-06-03 11:00:00,236,"TNHA","TNHA-BASE","1"
"61",2023-06-03 12:00:00,251,"TNHA","TNHA-BASE","1"
"62",2023-06-03 13:00:00,223,"TNHA","TNHA-BASE","1"
"63",2023-06-03 14:00:00,220,"TNHA","TNHA-BASE","1"
"64",2023-06-03 15:00:00,236,"TNHA","TNHA-BASE","1"
"65",2023-06-03 16:00:00,229,"TNHA","TNHA-BASE","1"
"66",2023-06-03 17:00:00,247,"TNHA","TNHA-BASE","1"
"67",2023-06-03 18:00:00,226,"TNHA","TNHA-BASE","1"
"68",2023-06-03 19:00:00,219,"TNHA","TNHA-BASE","1"
"69",2023-06-03 20:00:00,219,"TNHA","TNHA-BASE","1"
"70",2023-06-03 21:00:00,219,"TNHA","TNHA-BASE","1"
"71",2023-06-03 22:00:00,222,"TNHA","TNHA-BASE","1"
"72",2023-06-03 23:00:00,220,"TNHA","TNHA-BASE","1"
"73",2023-06-04,222,"TNHA","TNHA-BASE","1"
"74",2023-06-04 01:00:00,226,"TNHA","TNHA-BASE","1"
"75",2023-06-04 02:00:00,257,"TNHA","TNHA-BASE","1"
"76",2023-06-04 03:00:00,286,"TNHA","TNHA-BASE","1"
"77",2023-06-04 04:00:00,281,"TNHA","TNHA-BASE","1"
"78",2023-06-04 05:00:00,232,"TNHA","TNHA-BASE","1"
"79",2023-06-04 06:00:00,65,"TNHA","TNHA-BASE","1"
"80",2023-06-04 07:00:00,60,"TNHA","TNHA-BASE","1"
"81",2023-06-04 08:00:00,44,"TNHA","TNHA-BASE","1"
"82",2023-06-04 09:00:00,314,"TNHA","TNHA-BASE","1"
"83",2023-06-04 10:00:00,331,"TNHA","TNHA-BASE","1"
"84",2023-06-04 11:00:00,317,"TNHA","TNHA-BASE","1"
"85",2023-06-04 12:00:00,313,"TNHA","TNHA-BASE","1"
"86",2023-06-04 13:00:00,317,"TNHA","TNHA-BASE","1"
"87",2023-06-04 14:00:00,317,"TNHA","TNHA-BASE","1"
"88",2023-06-04 15:00:00,324,"TNHA","TNHA-BASE","1"
"89",2023-06-04 16:00:00,117,"TNHA","TNHA-BASE","1"
"90",2023-06-04 17:00:00,358,"TNHA","TNHA-BASE","1"
"91",2023-06-04 18:00:00,237,"TNHA","TNHA-BASE","1"
"92",2023-06-04 19:00:00,211,"TNHA","TNHA-BASE","1"
"93",2023-06-04 20:00:00,112,"TNHA","TNHA-BASE","1"
"94",2023-06-04 21:00:00,274,"TNHA","TNHA-BASE","1"
"95",2023-06-04 22:00:00,204,"TNHA","TNHA-BASE","1"
"96",2023-06-04 23:00:00,285,"TNHA","TNHA-BASE","1"
"97",2023-06-05,261,"TNHA","TNHA-BASE","1"
"98",2023-06-05 01:00:00,277,"TNHA","TNHA-BASE","1"
"99",2023-06-05 02:00:00,31,"TNHA","TNHA-BASE","1"
"100",2023-06-05 03:00:00,340,"TNHA","TNHA-BASE","1"
"101",2023-06-05 04:00:00,20,"TNHA","TNHA-BASE","1"
"102",2023-06-05 05:00:00,21,"TNHA","TNHA-BASE","1"
"103",2023-06-05 06:00:00,306,"TNHA","TNHA-BASE","1"
"104",2023-06-05 07:00:00,278,"TNHA","TNHA-BASE","1"
"105",2023-06-05 08:00:00,226,"TNHA","TNHA-BASE","1"
"106",2023-06-05 09:00:00,226,"TNHA","TNHA-BASE","1"
"107",2023-06-05 10:00:00,220,"TNHA","TNHA-BASE","1"
"108",2023-06-05 11:00:00,227,"TNHA","TNHA-BASE","1"
"109",2023-06-05 12:00:00,227,"TNHA","TNHA-BASE","1"
"110",2023-06-05 13:00:00,230,"TNHA","TNHA-BASE","1"
"111",2023-06-05 14:00:00,285,"TNHA","TNHA-BASE","1"
"112",2023-06-05 15:00:00,295,"TNHA","TNHA-BASE","1"
"113",2023-06-05 16:00:00,310,"TNHA","TNHA-BASE","1"
"114",2023-06-05 17:00:00,281,"TNHA","TNHA-BASE","1"
"115",2023-06-05 18:00:00,279,"TNHA","TNHA-BASE","1"
"116",2023-06-05 19:00:00,305,"TNHA","TNHA-BASE","1"
